Number,Name,Google Maps Search,Category,Address
1,"Golden Gate / Porta Aurea","https://www.google.com/maps/search/?api=1&query=Golden%20Gate%2C%20Split%2C%20Croatia","Core Palace","Golden Gate, Split, Croatia"
2,"Gregory of Nin Statue","https://www.google.com/maps/search/?api=1&query=Gregory%20of%20Nin%20Statue%2C%20Split%2C%20Croatia","Core Palace","Gregory of Nin Statue, Split, Croatia"
3,"North Wall and Defensive Towers","https://www.google.com/maps/search/?api=1&query=Diocletian%20Palace%20North%20Wall%2C%20Split%2C%20Croatia","Core Palace","Diocletian Palace North Wall, Split, Croatia"
4,"Cardo and Decumanus Street Grid","https://www.google.com/maps/search/?api=1&query=Diocletian%20Palace%20Cardo%20Decumanus%2C%20Split%2C%20Croatia","Core Palace","Diocletian Palace Cardo Decumanus, Split, Croatia"
5,"Iron Gate / Porta Ferrea","https://www.google.com/maps/search/?api=1&query=Iron%20Gate%2C%20Split%2C%20Croatia","Core Palace","Iron Gate, Split, Croatia"
6,"People’s Square / Pjaca","https://www.google.com/maps/search/?api=1&query=Narodni%20trg%20Pjaca%2C%20Split%2C%20Croatia","Medieval City","Narodni trg Pjaca, Split, Croatia"
7,"Fruit Square / Voćni Trg","https://www.google.com/maps/search/?api=1&query=Fruit%20Square%2C%20Split%2C%20Croatia","Medieval City","Fruit Square, Split, Croatia"
8,"Republic Square / Prokurative","https://www.google.com/maps/search/?api=1&query=Republic%20Square%20Prokurative%2C%20Split%2C%20Croatia","Medieval City","Republic Square Prokurative, Split, Croatia"
9,"Marmont Street","https://www.google.com/maps/search/?api=1&query=Marmontova%20ulica%2C%20Split%2C%20Croatia","Modern Layers","Marmontova ulica, Split, Croatia"
10,"Riva Waterfront","https://www.google.com/maps/search/?api=1&query=Riva%2C%20Split%2C%20Croatia","Waterfront","Riva, Split, Croatia"
11,"Bronze Gate / Southern Gate","https://www.google.com/maps/search/?api=1&query=Bronze%20Gate%2C%20Split%2C%20Croatia","Waterfront","Bronze Gate, Split, Croatia"
12,"Diocletian’s Cellars / Palace Basements","https://www.google.com/maps/search/?api=1&query=Diocletian%27s%20Cellars%2C%20Split%2C%20Croatia","Core Palace","Diocletian's Cellars, Split, Croatia"
13,"Vestibule","https://www.google.com/maps/search/?api=1&query=Vestibule%2C%20Diocletian%27s%20Palace%2C%20Split%2C%20Croatia","Core Palace","Vestibule, Diocletian's Palace, Split, Croatia"
14,"Peristyle","https://www.google.com/maps/search/?api=1&query=Peristyle%2C%20Split%2C%20Croatia","Core Palace","Peristyle, Split, Croatia"
15,"Temple of Jupiter / Baptistery","https://www.google.com/maps/search/?api=1&query=Temple%20of%20Jupiter%2C%20Split%2C%20Croatia","Core Palace","Temple of Jupiter, Split, Croatia"
16,"Cathedral of Saint Domnius and Bell Tower","https://www.google.com/maps/search/?api=1&query=Cathedral%20of%20Saint%20Domnius%2C%20Split%2C%20Croatia","Core Palace","Cathedral of Saint Domnius, Split, Croatia"
17,"Silver Gate / Eastern Gate","https://www.google.com/maps/search/?api=1&query=Silver%20Gate%2C%20Split%2C%20Croatia","Core Palace","Silver Gate, Split, Croatia"
18,"Pazar / Green Market","https://www.google.com/maps/search/?api=1&query=Green%20Market%20Pazar%2C%20Split%2C%20Croatia","Local Life","Green Market Pazar, Split, Croatia"
19,"Let Me Pass Street / Pusti me proć","https://www.google.com/maps/search/?api=1&query=Pusti%20me%20proc%2C%20Split%2C%20Croatia","Hidden Alley","Pusti me proc, Split, Croatia"
20,"Marjan Hill / Vidilica Viewpoint","https://www.google.com/maps/search/?api=1&query=Vidilica%2C%20Split%2C%20Croatia","Viewpoint","Vidilica, Split, Croatia"
21,"Bačvice Beach","https://www.google.com/maps/search/?api=1&query=Bacvice%20Beach%2C%20Split%2C%20Croatia","Cooldown","Bacvice Beach, Split, Croatia"
22,"Salona Archaeological Site / Solin","https://www.google.com/maps/search/?api=1&query=Salona%20Archaeological%20Park%2C%20Solin%2C%20Croatia","Extension","Salona Archaeological Park, Solin, Croatia"
23,"Salona Amphitheater","https://www.google.com/maps/search/?api=1&query=Salona%20Amphitheater%2C%20Solin%2C%20Croatia","Extension","Salona Amphitheater, Solin, Croatia"
24,"Manastirine Early Christian Complex","https://www.google.com/maps/search/?api=1&query=Manastirine%2C%20Solin%2C%20Croatia","Extension","Manastirine, Solin, Croatia"
25,"Klis Fortress","https://www.google.com/maps/search/?api=1&query=Klis%20Fortress%2C%20Klis%2C%20Croatia","Extension","Klis Fortress, Klis, Croatia"
26,"Klis Game of Thrones / Meereen Viewpoints","https://www.google.com/maps/search/?api=1&query=Klis%20Fortress%20Game%20of%20Thrones%20Meereen%2C%20Klis%2C%20Croatia","Extension","Klis Fortress Game of Thrones Meereen, Klis, Croatia"
27,"Diocletian’s Aqueduct Remains","https://www.google.com/maps/search/?api=1&query=Diocletian%27s%20Aqueduct%2C%20Split%2C%20Croatia","Extension","Diocletian's Aqueduct, Split, Croatia"
28,"Split WWII / Partisan Memory Layer","https://www.google.com/maps/search/?api=1&query=Riva%2C%20Split%2C%20Croatia","Modern Layers","Riva, Split, Croatia"
29,"Croatian Independence / 1990s Context","https://www.google.com/maps/search/?api=1&query=Split%2C%20Croatia","Modern Layers","Split, Croatia"
30,"Old Town Konoba / Local Tavern Stop","https://www.google.com/maps/search/?api=1&query=Konoba%20Split%20Old%20Town%2C%20Split%2C%20Croatia","Food/Reset","Konoba Split Old Town, Split, Croatia"
